"PHL NO.";"DAYS_EMER";"Column1";"";"DAYS_TASS";"Column1";"";"DAYS_SILK";"Column1";"";"DAYS_HARV"
"2396";"5";"";"";"";"";"";"42";"";"";"88"
"2397";"5";"Mean";"6.0743099787686";"";"Mean";"49.106918238994";"42";"Mean";"51.046486486486";"88"
"3045";"5";"Standard Error";"0.03322969387559";"";"Standard Error";"0.35874676763732";"42";"Standard Error";"0.17216167083444";"88"
"9886";"5";"Median";"6";"";"Median";"49";"53";"Median";"51";"99"
"9905";"5";"Mode";"7";"";"Mode";"47";"43";"Mode";"51";"89"
"9908";"5";"Standard Deviation";"1.0198863793931";"";"Standard Deviation";"4.523624617842";"45";"Standard Deviation";"5.2360928025263";"89"
"9911";"5";"Sample Variance";"1.0401682268716";"";"Sample Variance";"20.463179683146";"48";"Sample Variance";"27.416667836668";"94"
"9913";"5";"Kurtosis";"3.8653313908202";"";"Kurtosis";"1.1167103272523";"45";"Kurtosis";"0.75651017822654";"91"
"9914";"5";"Skewness";"-0.78160415830393";"";"Skewness";"0.4328945457865";"51";"Skewness";"0.30572863838373";"97"
"9928";"5";"Range";"8";"";"Range";"28";"64";"Range";"36";"111"
"9929";"5";"Minimum";"1";"";"Minimum";"39";"59";"Minimum";"34";"105"
"9931";"5";"Maximum";"9";"";"Maximum";"67";"60";"Maximum";"70";"106"
"9940";"6";"Sum";"5722";"";"Sum";"7808";"59";"Sum";"47218";"107"
"9945";"5";"Count";"942";"";"Count";"159";"55";"Count";"925";"101"
"9953";"5";"";"";"";"";"";"66";"";"";"112"
"10023";"6";"";"";"";"";"";"56";"";"";"102"
"10087";"6";"";"";"";"";"";"70";"";"";"116"
"10088";"5";"";"";"";"";"";"63";"";"";"109"
"10161";"5";"";"";"";"";"";"48";"";"";"94"
"10168";"5";"";"";"";"";"";"48";"";"";"84"
"10177";"6";"";"";"";"";"";"57";"";"";"103"
"10178";"6";"";"";"";"";"";"";"";"";"106"
"10182";"6";"";"";"";"";"";"57";"";"";"103"
"10184";"6";"";"";"";"";"";"50";"";"";"96"
"10185";"5";"";"";"";"";"";"52";"";"";"99"
"10186";"5";"";"";"";"";"";"57";"";"";"103"
"10190";"5";"";"";"";"";"";"51";"";"";"97"
"10225";"6";"";"";"";"";"";"55";"";"";"101"
"10238";"5";"";"";"";"";"";"51";"";"";"97"
"10247";"5";"";"";"";"";"";"51";"";"";"97"
"10265";"6";"";"";"";"";"";"50";"";"";"96"
"10270";"6";"";"";"";"";"";"50";"";"";"96"
"10273";"5";"";"";"";"";"";"50";"";"";"96"
"10279";"7";"";"";"";"";"";"49";"";"";"95"
"10280";"5";"";"";"";"";"";"51";"";"";"97"
"10281";"5";"";"";"";"";"";"51";"";"";"97"
"10284";"6";"";"";"";"";"";"";"";"";""
"10296";"6";"";"";"";"";"";"";"";"";""
"10297";"6";"";"";"";"";"";"54";"";"";"100"
"10300";"6";"";"";"";"";"";"48";"";"";"94"
"10309";"6";"";"";"";"";"";"52";"";"";"98"
"10328";"5";"";"";"";"";"";"";"";"";""
"10382";"5";"";"";"";"";"";"49";"";"";"95"
"10395";"5";"";"";"";"";"";"53";"";"";"99"
"10402";"6";"";"";"";"";"";"";"";"";"100"
"10405";"5";"";"";"";"";"";"";"";"";""
"10408";"6";"";"";"";"";"";"54";"";"";"100"
"10409";"5";"";"";"";"";"";"57";"";"";"103"
"10414";"5";"";"";"";"";"";"55";"";"";"101"
"10417";"5";"";"";"";"";"";"50";"";"";"96"
"10437";"6";"";"";"";"";"";"50";"";"";"96"
"10438";"5";"";"";"";"";"";"49";"";"";"95"
"10442";"6";"";"";"";"";"";"54";"";"";"100"
"10443";"5";"";"";"";"";"";"55";"";"";"101"
"10445";"5";"";"";"";"";"";"49";"";"";"95"
"10448";"6";"";"";"";"";"";"54";"";"";"100"
"10461";"6";"";"";"";"";"";"50";"";"";"96"
"10467";"5";"";"";"";"";"";"50";"";"";"96"
"10468";"5";"";"";"";"";"";"50";"";"";"96"
"10469";"6";"";"";"";"";"";"49";"";"";"96"
"10471";"5";"";"";"";"";"";"50";"";"";"96"
"10492";"5";"";"";"";"";"";"50";"";"";"96"
"10493";"5";"";"";"";"";"";"58";"";"";"104"
"10496";"5";"";"";"";"";"";"44";"";"";"90"
"10497";"5";"";"";"";"";"";"44";"";"";"90"
"10498";"5";"";"";"";"";"";"44";"";"";"90"
"10499";"5";"";"";"";"";"";"44";"";"";"90"
"10500";"5";"";"";"";"";"";"43";"";"";"89"
"10502";"5";"";"";"";"";"";"43";"";"";"89"
"10503";"6";"";"";"";"";"";"47";"";"";"93"
"10504";"5";"";"";"";"";"";"44";"";"";"90"
"10506";"7";"";"";"";"";"";"47";"";"";"93"
"10507";"6";"";"";"";"";"";"55";"";"";"101"
"10510";"5";"";"";"";"";"";"50";"";"";"96"
"10511";"6";"";"";"";"";"";"43";"";"";""
"10512";"5";"";"";"";"";"";"44";"";"";"90"
"10515";"6";"";"";"";"";"";"";"";"";""
"10517";"5";"";"";"";"";"";"50";"";"";"96"
"10519";"6";"";"";"";"";"";"49";"";"";"95"
"10520";"7";"";"";"";"";"";"51";"";"";"97"
"10521";"7";"";"";"";"";"";"53";"";"";"99"
"10522";"5";"";"";"";"";"";"47";"";"";"93"
"10523";"5";"";"";"";"";"";"50";"";"";"96"
"10524";"5";"";"";"";"";"";"51";"";"";"97"
"10525";"5";"";"";"";"";"";"51";"";"";"97"
"10526";"5";"";"";"";"";"";"49";"";"";"95"
"10527";"5";"";"";"";"";"";"52";"";"";"98"
"10528";"5";"";"";"";"";"";"45";"";"";"91"
"10529";"5";"";"";"";"";"";"45";"";"";"91"
"10531";"5";"";"";"";"";"";"52";"";"";"98"
"10532";"5";"";"";"";"";"";"50";"";"";"96"
"10533";"5";"";"";"";"";"";"49";"";"";"95"
"10534";"5";"";"";"";"";"";"55";"";"";"96"
"10538";"5";"";"";"";"";"";"44";"";"";"90"
"10539";"6";"";"";"";"";"";"54";"";"";"100"
"10540";"6";"";"";"";"";"";"43";"";"";"89"
"10541";"6";"";"";"";"";"";"54";"";"";"97"
"10542";"6";"";"";"";"";"";"54";"";"";"100"
"10545";"6";"";"";"";"";"";"50";"";"";"96"
"10546";"6";"";"";"";"";"";"56";"";"";"102"
"10548";"6";"";"";"";"";"";"46";"";"";"92"
"10550";"6";"";"";"";"";"";"57";"";"";"97"
"10552";"6";"";"";"";"";"";"56";"";"";"102"
"10554";"6";"";"";"";"";"";"51";"";"";"97"
"10556";"6";"";"";"";"";"";"51";"";"";"97"
"10557";"6";"";"";"";"";"";"54";"";"";"100"
"10559";"6";"";"";"";"";"";"56";"";"";"102"
"10560";"6";"";"";"";"";"";"54";"";"";"100"
"10561";"6";"";"";"";"";"";"56";"";"";"102"
"10562";"6";"";"";"";"";"";"51";"";"";"97"
"10563";"6";"";"";"";"";"";"48";"";"";"108"
"10565";"6";"";"";"";"";"";"";"";"";""
"10567";"6";"";"";"";"";"";"56";"";"";"102"
"10568";"6";"";"";"";"";"";"59";"";"";"105"
"10569";"6";"";"";"";"";"";"59";"";"";"105"
"10570";"6";"";"";"";"";"";"62";"";"";"108"
"10573";"5";"";"";"";"";"";"63";"";"";"109"
"10574";"6";"";"";"";"";"";"54";"";"";"100"
"10575";"6";"";"";"";"";"";"56";"";"";"102"
"10577";"5";"";"";"";"";"";"56";"";"";"94"
"10579";"6";"";"";"";"";"";"48";"";"";""
"10581";"6";"";"";"";"";"";"56";"";"";"102"
"10582";"6";"";"";"";"";"";"51";"";"";"97"
"10583";"6";"";"";"";"";"";"52";"";"";"98"
"10584";"6";"";"";"";"";"";"63";"";"";"108"
"10585";"6";"";"";"";"";"";"47";"";"";"93"
"10586";"6";"";"";"";"";"";"50";"";"";"97"
"10587";"6";"";"";"";"";"";"46";"";"";"92"
"11313";"5";"";"";"";"";"";"44";"";"";"90"
"11317";"5";"";"";"";"";"";"44";"";"";"90"
"11318";"5";"";"";"";"";"";"48";"";"";"94"
"11325";"5";"";"";"";"";"";"53";"";"";"99"
"11335";"5";"";"";"";"";"";"52";"";"";"98"
"11359";"5";"";"";"";"";"";"48";"";"";"94"
"4807";"5";"";"";"";"";"";"44";"";"";"90"
"4166";"5";"";"";"";"";"";"44";"";"";"90"
"334";"5";"";"";"";"";"";"45";"";"";"91"
"488";"5";"";"";"";"";"";"46";"";"";"92"
"1189";"6";"";"";"";"";"";"49";"";"";"95"
"1190";"5";"";"";"";"";"";"48";"";"";"94"
"1192";"5";"";"";"";"";"";"48";"";"";"94"
"10925";"5";"";"";"";"";"";"47";"";"";"93"
"1213";"5";"";"";"";"";"";"53";"";"";"99"
"1214";"5";"";"";"";"";"";"49";"";"";"95"
"1215";"5";"";"";"";"";"";"49";"";"";"95"
"1221";"5";"";"";"";"";"";"52";"";"";"98"
"1232";"5";"";"";"";"";"";"53";"";"";"99"
"1234";"5";"";"";"";"";"";"53";"";"";"99"
"1246";"5";"";"";"";"";"";"52";"";"";""
"1250";"5";"";"";"";"";"";"52";"";"";"98"
"1257";"5";"";"";"";"";"";"48";"";"";"94"
"1771";"5";"";"";"";"";"";"52";"";"";"98"
"1959";"5";"";"";"";"";"";"48";"";"";"94"
"1960";"5";"";"";"";"";"";"51";"";"";"97"
"3808";"6";"";"";"";"";"";"49";"";"";"94"
"1961";"5";"";"";"";"";"";"46";"";"";"92"
"9890";"5";"";"";"";"";"";"51";"";"";"97"
"9895";"5";"";"";"";"";"";"46";"";"";"92"
"9907";"5";"";"";"";"";"";"70";"";"";"116"
"9909";"5";"";"";"";"";"";"51";"";"";"102"
"9924";"5";"";"";"";"";"";"58";"";"";"104"
"9946";"5";"";"";"";"";"";"53";"";"";"99"
"10191";"5";"";"";"";"";"";"59";"";"";"104"
"10470";"5";"";"";"";"";"";"50";"";"";""
"10535";"5";"";"";"";"";"";"43";"";"";""
"10543";"5";"";"";"";"";"";"55";"";"";""
"10544";"6";"";"";"";"";"";"54";"";"";""
"10553";"6";"";"";"";"";"";"47";"";"";""
"10576";"6";"";"";"";"";"";"56";"";"";""
"9958";"6";"";"";"";"";"";"67";"";"";""
"1679";"7";"";"";"";"";"";"44";"";"";"87"
"10512";"7";"";"";"";"";"";"45";"";"";"87"
"10513";"7";"";"";"";"";"";"41";"";"";"87"
"10518";"7";"";"";"";"";"";"39";"";"";"87"
"11360";"7";"";"";"";"";"";"44";"";"";"87"
"11361";"7";"";"";"";"";"";"48";"";"";"97"
"11362";"7";"";"";"";"";"";"48";"";"";"97"
"495";"7";"";"";"";"";"";"44";"";"";"87"
"496";"7";"";"";"";"";"";"44";"";"";"87"
"498";"7";"";"";"";"";"";"41";"";"";"87"
"499";"7";"";"";"";"";"";"45";"";"";"87"
"500";"7";"";"";"";"";"";"45";"";"";"87"
"501";"7";"";"";"";"";"";"41";"";"";"87"
"502";"7";"";"";"";"";"";"41";"";"";"87"
"503";"7";"";"";"";"";"";"52";"";"";"97"
"507";"7";"";"";"";"";"";"49";"";"";"87"
"508";"7";"";"";"";"";"";"56";"";"";"97"
"509";"7";"";"";"";"";"";"50";"";"";"87"
"510";"7";"";"";"";"";"";"44";"";"";"87"
"511";"7";"";"";"";"";"";"49";"";"";"87"
"512";"7";"";"";"";"";"";"44";"";"";"87"
"513";"7";"";"";"";"";"";"50";"";"";"87"
"514";"7";"";"";"";"";"";"50";"";"";"97"
"515";"7";"";"";"";"";"";"41";"";"";"97"
"517";"7";"";"";"";"";"";"44";"";"";"87"
"350-1";"7";"";"";"";"";"";"53";"";"";"97"
"350-3";"7";"";"";"";"";"";"49";"";"";"97"
"350-4";"7";"";"";"";"";"";"53";"";"";"97"
"6496";"7";"";"";"";"";"";"49";"";"";"97"
"342";"7";"";"";"";"";"";"55";"";"";"87"
"346";"7";"";"";"";"";"";"45";"";"";"87"
"347";"7";"";"";"";"";"";"49";"";"";""
"349-1";"7";"";"";"";"";"";"49";"";"";"87"
"349-2";"7";"";"";"";"";"";"56";"";"";"97"
"349-3";"7";"";"";"";"";"";"54";"";"";"99"
"350-3";"7";"";"";"";"";"";"54";"";"";"99"
"350-4";"7";"";"";"";"";"";"54";"";"";"99"
"351-4";"7";"";"";"";"";"";"49";"";"";"87"
"6503";"7";"";"";"";"";"";"49";"";"";"87"
"334";"7";"";"";"";"";"";"44";"";"";"87"
"335";"7";"";"";"";"";"";"49";"";"";"87"
"336";"7";"";"";"";"";"";"49";"";"";"87"
"337";"7";"";"";"";"";"";"44";"";"";"87"
"478";"7";"";"";"";"";"";"45";"";"";"87"
"479";"7";"";"";"";"";"";"49";"";"";"87"
"480";"7";"";"";"";"";"";"44";"";"";"87"
"481";"7";"";"";"";"";"";"44";"";"";"87"
"482";"7";"";"";"";"";"";"44";"";"";"87"
"483";"7";"";"";"";"";"";"45";"";"";"87"
"484";"7";"";"";"";"";"";"44";"";"";"87"
"485";"7";"";"";"";"";"";"41";"";"";"87"
"486";"7";"";"";"";"";"";"44";"";"";"87"
"487";"7";"";"";"";"";"";"50";"";"";"87"
"488";"7";"";"";"";"";"";"50";"";"";"87"
"489";"7";"";"";"";"";"";"50";"";"";"87"
"490";"7";"";"";"";"";"";"50";"";"";"87"
"491";"7";"";"";"";"";"";"50";"";"";"87"
"492";"7";"";"";"";"";"";"50";"";"";"87"
"493";"7";"";"";"";"";"";"50";"";"";"87"
"494";"7";"";"";"";"";"";"50";"";"";"87"
"1182";"7";"";"";"";"";"";"54";"";"";"99"
"1183";"7";"";"";"";"";"";"54";"";"";"99"
"1184";"7";"";"";"";"";"";"50";"";"";"99"
"1185";"7";"";"";"";"";"";"48";"";"";"87"
"1186";"7";"";"";"";"";"";"50";"";"";"99"
"1187";"7";"";"";"";"";"";"52";"";"";"99"
"1188";"7";"";"";"";"";"";"54";"";"";"99"
"1189";"7";"";"";"";"";"";"49";"";"";"87"
"1190";"7";"";"";"";"";"";"49";"";"";"87"
"1191";"7";"";"";"";"";"";"55";"";"";"99"
"1192";"7";"";"";"";"";"";"45";"";"";"87"
"1193";"7";"";"";"";"";"";"54";"";"";"87"
"1194";"7";"";"";"";"";"";"55";"";"";"99"
"1195";"7";"";"";"";"";"";"52";"";"";"99"
"1196";"7";"";"";"";"";"";"52";"";"";"99"
"1197";"7";"";"";"";"";"";"55";"";"";"99"
"1198";"7";"";"";"";"";"";"53";"";"";"87"
"1199";"7";"";"";"";"";"";"49";"";"";"87"
"1200";"7";"";"";"";"";"";"50";"";"";"99"
"1201";"7";"";"";"";"";"";"57";"";"";"99"
"1202";"7";"";"";"";"";"";"55";"";"";"97"
"1203";"7";"";"";"";"";"";"55";"";"";"97"
"1204";"7";"";"";"";"";"";"55";"";"";"97"
"1205";"7";"";"";"";"";"";"55";"";"";"97"
"1206";"7";"";"";"";"";"";"55";"";"";"97"
"1207";"7";"";"";"";"";"";"55";"";"";"97"
"1208";"7";"";"";"";"";"";"55";"";"";""
"1209";"7";"";"";"";"";"";"55";"";"";"97"
"1210";"7";"";"";"";"";"";"55";"";"";"97"
"1211";"7";"";"";"";"";"";"55";"";"";"97"
"1212";"7";"";"";"";"";"";"55";"";"";"97"
"1213";"7";"";"";"";"";"";"54";"";"";"87"
"1214";"7";"";"";"";"";"";"46";"";"";"87"
"1215";"7";"";"";"";"";"";"55";"";"";"97"
"1216";"7";"";"";"";"";"";"55";"";"";"97"
"1217";"7";"";"";"";"";"";"46";"";"";"87"
"1218";"7";"";"";"";"";"";"55";"";"";"97"
"1219";"7";"";"";"";"";"";"55";"";"";"97"
"1220";"7";"";"";"";"";"";"54";"";"";"97"
"1221";"7";"";"";"";"";"";"55";"";"";"97"
"1222";"7";"";"";"";"";"";"55";"";"";"97"
"1223";"7";"";"";"";"";"";"45";"";"";"97"
"1224";"7";"";"";"";"";"";"55";"";"";"97"
"1225";"7";"";"";"";"";"";"55";"";"";"97"
"1226";"7";"";"";"";"";"";"55";"";"";"97"
"1227";"7";"";"";"";"";"";"45";"";"";"97"
"1228";"7";"";"";"";"";"";"54";"";"";"97"
"1229";"7";"";"";"";"";"";"55";"";"";"97"
"1230";"7";"";"";"";"";"";"55";"";"";"97"
"1231";"7";"";"";"";"";"";"55";"";"";"97"
"1232";"7";"";"";"";"";"";"55";"";"";"97"
"1233";"7";"";"";"";"";"";"54";"";"";"97"
"1234";"7";"";"";"";"";"";"53";"";"";"87"
"1235";"7";"";"";"";"";"";"46";"";"";"87"
"1236";"7";"";"";"";"";"";"43";"";"";"97"
"1237";"7";"";"";"";"";"";"53";"";"";"97"
"1238";"7";"";"";"";"";"";"53";"";"";"97"
"1239";"7";"";"";"";"";"";"53";"";"";"97"
"1240";"7";"";"";"";"";"";"53";"";"";"87"
"1241";"7";"";"";"";"";"";"52";"";"";"97"
"1242";"7";"";"";"";"";"";"52";"";"";"97"
"1243";"7";"";"";"";"";"";"52";"";"";"97"
"1244";"7";"";"";"";"";"";"53";"";"";"97"
"1245";"7";"";"";"";"";"";"53";"";"";"97"
"1246";"7";"";"";"";"";"";"53";"";"";"87"
"1247";"7";"";"";"";"";"";"53";"";"";"87"
"1248";"7";"";"";"";"";"";"53";"";"";"97"
"1249";"7";"";"";"";"";"";"53";"";"";"97"
"1250";"7";"";"";"";"";"";"53";"";"";"97"
"1251";"7";"";"";"";"";"";"45";"";"";"87"
"1252";"7";"";"";"";"";"";"46";"";"";"87"
"1253";"7";"";"";"";"";"";"52";"";"";"87"
"1254";"7";"";"";"";"";"";"52";"";"";"97"
"1255";"7";"";"";"";"";"";"52";"";"";"97"
"1256";"7";"";"";"";"";"";"39";"";"";"86"
"1257";"7";"";"";"";"";"";"44";"";"";"86"
"1258";"7";"";"";"";"";"";"44";"";"";"87"
"1259";"7";"";"";"";"";"";"53";"";"";"97"
"1260";"7";"";"";"";"";"";"53";"";"";"97"
"1261";"7";"";"";"";"";"";"53";"";"";"97"
"1262";"7";"";"";"";"";"";"45";"";"";"87"
"1263";"7";"";"";"";"";"";"53";"";"";"97"
"1264";"7";"";"";"";"";"";"57";"";"";"97"
"1265";"7";"";"";"";"";"";"53";"";"";"97"
"1266";"7";"";"";"";"";"";"56";"";"";"97"
"1267";"7";"";"";"";"";"";"53";"";"";"87"
"1268";"7";"";"";"";"";"";"53";"";"";"97"
"1269";"7";"";"";"";"";"";"53";"";"";"87"
"1304";"7";"";"";"";"";"";"52";"";"";"86"
"1305";"7";"";"";"";"";"";"52";"";"";"97"
"1306";"7";"";"";"";"";"";"56";"";"";"97"
"1361";"7";"";"";"";"";"";"52";"";"";"86"
"1630";"7";"";"";"";"";"";"36";"";"";"86"
"1631";"7";"";"";"";"";"";"45";"";"";"86"
"1771";"7";"";"";"";"";"";"52";"";"";"86"
"10423";"7";"";"";"";"";"";"45";"";"";"86"
"10425";"7";"";"";"";"";"";"45";"";"";"86"
"10426";"7";"";"";"";"";"";"45";"";"";"86"
"10427";"7";"";"";"";"";"";"45";"";"";"86"
"10428";"7";"";"";"";"";"";"45";"";"";"86"
"10429";"7";"";"";"";"";"";"45";"";"";"86"
"10430";"7";"";"";"";"";"";"45";"";"";"86"
"10432";"7";"";"";"";"";"";"45";"";"";"86"
"10433";"7";"";"";"";"";"";"48";"";"";"86"
"10435";"7";"";"";"";"";"";"45";"";"";"86"
"10436";"7";"";"";"";"";"";"45";"";"";"86"
"10437";"7";"";"";"";"";"";"";"";"";""
"10438";"7";"";"";"";"";"";"45";"";"";"86"
"10439";"7";"";"";"";"";"";"";"";"";""
"10440";"7";"";"";"";"";"";"52";"";"";"86"
"10441";"7";"";"";"";"";"";"52";"";"";"86"
"10442";"7";"";"";"";"";"";"52";"";"";"86"
"10443";"7";"";"";"";"";"";"";"";"";""
"10444";"7";"";"";"";"";"";"52";"";"";"86"
"10445";"7";"";"";"";"";"";"52";"";"";"86"
"10446";"7";"";"";"";"";"";"";"";"";""
"10447";"";"";"";"";"";"";"";"";"";""
"10448";"";"";"";"";"";"";"";"";"";""
"10449";"7";"";"";"";"";"";"52";"";"";"86"
"10450";"7";"";"";"";"";"";"52";"";"";"86"
"10451";"7";"";"";"";"";"";"52";"";"";"86"
"10452";"7";"";"";"";"";"";"52";"";"";"86"
"10453";"7";"";"";"";"";"";"51";"";"";"86"
"10454";"7";"";"";"";"";"";"47";"";"";"86"
"10455";"7";"";"";"";"";"";"51";"";"";"86"
"10457";"";"";"";"";"";"";"";"";"";""
"10461";"";"";"";"";"";"";"";"";"";""
"10462";"7";"";"";"";"";"";"51";"";"";"86"
"10463";"7";"";"";"";"";"";"51";"";"";"86"
"10464";"7";"";"";"";"";"";"51";"";"";"86"
"10465";"7";"";"";"";"";"";"43";"";"";"86"
"10466";"7";"";"";"";"";"";"51";"";"";"86"
"10467";"7";"";"";"";"";"";"51";"";"";"86"
"10468";"7";"";"";"";"";"";"51";"";"";"86"
"10469";"7";"";"";"";"";"";"51";"";"";"86"
"10470";"7";"";"";"";"";"";"51";"";"";"86"
"10471";"7";"";"";"";"";"";"43";"";"";"86"
"10472";"7";"";"";"";"";"";"45";"";"";"86"
"10473";"7";"";"";"";"";"";"51";"";"";""
"10474";"7";"";"";"";"";"";"51";"";"";"86"
"10475";"7";"";"";"";"";"";"48";"";"";"86"
"10476";"7";"";"";"";"";"";"51";"";"";"86"
"10477";"7";"";"";"";"";"";"51";"";"";"86"
"10478";"7";"";"";"";"";"";"43";"";"";"86"
"10479";"7";"";"";"";"";"";"51";"";"";"86"
"10480";"7";"";"";"";"";"";"44";"";"";"86"
"10481";"7";"";"";"";"";"";"51";"";"";"86"
"10482";"7";"";"";"";"";"";"51";"";"";"86"
"10483";"7";"";"";"";"";"";"51";"";"";"86"
"10484";"7";"";"";"";"";"";"51";"";"";"86"
"10488";"7";"";"";"";"";"";"56";"";"";"86"
"10489";"7";"";"";"";"";"";"51";"";"";"86"
"10490";"7";"";"";"";"";"";"51";"";"";"86"
"10491";"7";"";"";"";"";"";"44";"";"";"86"
"10492";"7";"";"";"";"";"";"51";"";"";"86"
